10000,426
9330,393
8705,360
8122,339
7578,310
7071,292
6597,258
6155,244
5743,230
5358,215
5000,192
4665,181
4352,165
4061,156
3789,140
3535,133
3298,126
3077,115
2871,105
2679,99
2500,88
2332,86
2176,76
2030,73
1894,63
1767,64
1649,56
1538,52
1435,48
1339,45
1250,41
1166,37
1088,34
1015,32
947,29
883,28
824,25
769,23
717,21
669,19
625,18
583,16
544,16
507,14
473,13
441,14
412,11
384,10
358,9
334,8
312,8
291,7
272,7
253,6
236,5
220,5
206,5
192,4
179,4
167,3
156,3
145,3
136,3
126,2
118,2
110,2
103,2
96,2
89,1
83,1
78,1
72,1
68,1
63,1
59,1
55,1
51,0
48,0
44,0
41,0
39,0
36,0
34,0
31,0
29,0
27,0
25,0
24,0
22,0
20,0
19,0
18,0
17,0
15,0
14,0
13,0
12,0
12,0
11,0
10,0
