10000,16612
9330,14373
8705,12558
8122,10931
7578,9557
7071,8329
6597,7243
6155,6312
5743,5469
5358,4771
5000,4143
4665,3586
4352,3156
4061,2782
3789,2409
3535,2096
3298,1813
3077,1574
2871,1401
2679,1212
2500,1067
2332,920
2176,810
2030,706
1894,620
1767,536
1649,468
1538,409
1435,357
1339,313
1250,278
1166,241
1088,216
1015,188
947,165
883,143
824,125
769,110
717,98
669,86
625,76
583,69
544,59
507,51
473,45
441,40
412,36
384,31
358,27
334,23
312,21
291,18
272,16
253,14
236,13
220,11
206,8
192,8
179,7
167,6
156,5
145,4
136,4
126,3
118,3
110,2
103,2
96,2
89,1
83,1
78,1
72,1
68,0
63,0
59,0
55,0
51,0
48,0
44,0
41,0
39,0
36,0
34,0
31,0
29,0
27,0
25,0
24,0
22,0
20,0
19,0
18,0
17,0
15,0
14,0
13,0
12,0
12,0
11,0
10,0
