10000,1523
9330,1024
8705,938
8122,924
7578,835
7071,743
6597,729
6155,572
5743,663
5358,543
5000,634
4665,607
4352,441
4061,351
3789,371
3535,429
3298,353
3077,307
2871,268
2679,228
2500,218
2332,209
2176,197
2030,163
1894,146
1767,132
1649,130
1538,118
1435,113
1339,132
1250,126
1166,129
1088,114
1015,99
947,90
883,79
824,78
769,65
717,63
669,62
625,62
583,62
544,56
507,47
473,44
441,40
412,36
384,44
358,47
334,30
312,28
291,27
272,25
253,21
236,19
220,18
206,16
192,14
179,14
167,13
156,13
145,12
136,11
126,9
118,8
110,8
103,6
96,6
89,6
83,6
78,6
72,5
68,5
63,4
59,3
55,3
51,2
48,2
44,2
41,2
39,2
36,2
34,2
31,1
29,1
27,1
25,0
24,0
22,0
20,0
19,0
18,0
17,0
15,0
14,0
13,0
12,0
12,0
11,0
10,0
