10000,67
9330,68
8705,65
8122,73
7578,62
7071,59
6597,57
6155,50
5743,54
5358,43
5000,55
4665,40
4352,33
4061,29
3789,31
3535,34
3298,31
3077,28
2871,24
2679,19
2500,18
2332,17
2176,16
2030,14
1894,13
1767,12
1649,12
1538,11
1435,12
1339,11
1250,11
1166,10
1088,10
1015,9
947,8
883,7
824,7
769,6
717,6
669,6
625,5
583,5
544,4
507,7
473,4
441,3
412,3
384,5
358,4
334,2
312,2
291,2
272,2
253,2
236,2
220,1
206,1
192,1
179,1
167,1
156,1
145,1
136,1
126,1
118,1
110,1
103,1
96,1
89,0
83,1
78,0
72,0
68,1
63,0
59,0
55,0
51,0
48,0
44,0
41,0
39,0
36,0
34,0
31,0
29,0
27,0
25,0
24,0
22,0
20,0
19,0
18,0
17,0
15,0
14,0
13,0
12,0
12,0
11,0
10,0
