10000,846
9330,1333
8705,754
8122,616
7578,657
7071,592
6597,409
6155,383
5743,340
5358,486
5000,305
4665,319
4352,568
4061,249
3789,222
3535,421
3298,214
3077,177
2871,250
2679,168
2500,153
2332,136
2176,322
2030,124
1894,110
1767,102
1649,189
1538,90
1435,83
1339,69
1250,64
1166,59
1088,59
1015,51
947,47
883,44
824,42
769,36
717,33
669,30
625,28
583,25
544,24
507,23
473,22
441,20
412,18
384,16
358,39
334,33
312,30
291,11
272,10
253,9
236,8
220,7
206,7
192,39
179,7
167,5
156,5
145,4
136,4
126,4
118,3
110,3
103,3
96,3
89,7
83,7
78,5
72,4
68,4
63,4
59,3
55,3
51,3
48,2
44,2
41,2
39,2
36,2
34,1
31,1
29,1
27,0
25,1
24,1
22,0
20,0
19,0
18,0
17,0
15,0
14,0
13,0
12,0
12,0
11,0
10,0
