10000,53262
9330,52258
8705,44438
8122,40708
7578,38537
7071,35308
6597,39671
6155,34834
5743,26822
5358,26918
5000,23444
4665,22996
4352,20239
4061,21135
3789,18331
3535,17302
3298,17674
3077,13681
2871,16246
2679,13910
2500,12298
2332,12615
2176,11800
2030,9082
1894,10258
1767,8455
1649,7898
1538,8048
1435,8773
1339,5658
1250,6449
1166,5225
1088,6008
1015,4322
947,4920
883,3233
824,2882
769,6011
717,2808
669,2479
625,3357
583,2424
544,2500
507,2509
473,2955
441,1757
412,1432
384,1377
358,1269
334,2675
312,1430
291,1364
272,1180
253,1271
236,1188
220,953
206,757
192,714
179,1714
167,563
156,522
145,569
136,505
126,437
118,438
110,384
103,343
96,307
89,293
83,291
78,260
72,221
68,235
63,213
59,186
55,176
51,180
48,180
44,135
41,127
39,125
36,113
34,112
31,91
29,400
27,295
25,219
24,232
22,188
20,82
19,69
18,110
17,79
15,66
14,65
13,66
12,44
12,41
11,48
10,34
