10000,2506
9330,1377
8705,1155
8122,1159
7578,2098
7071,911
6597,787
6155,1500
5743,736
5358,1276
5000,593
4665,620
4352,504
4061,456
3789,407
3535,547
3298,365
3077,356
2871,351
2679,330
2500,313
2332,277
2176,855
2030,235
1894,212
1767,205
1649,188
1538,219
1435,177
1339,165
1250,140
1166,132
1088,124
1015,103
947,97
883,91
824,86
769,81
717,75
669,161
625,76
583,63
544,56
507,47
473,49
441,47
412,45
384,42
358,104
334,87
312,82
291,30
272,28
253,24
236,22
220,21
206,20
192,75
179,25
167,19
156,15
145,14
136,13
126,11
118,11
110,10
103,9
96,8
89,11
83,27
78,19
72,17
68,16
63,14
59,11
55,11
51,10
48,9
44,9
41,121
39,51
36,7
34,6
31,5
29,4
27,4
25,4
24,3
22,4
20,3
19,40
18,4
17,2
15,5
14,1
13,2
12,1
12,2
11,1
10,1
