10000,2058423
9330,1826356
8705,1535230
8122,1377638
7578,1178480
7071,1022750
6597,897336
6155,783550
5743,671951
5358,583184
5000,501703
4665,438845
4352,383588
4061,340521
3789,294575
3535,258191
3298,224968
3077,200784
2871,168978
2679,146783
2500,126948
2332,110646
2176,95686
2030,83637
1894,72724
1767,63447
1649,54537
1538,47673
1435,41310
1339,36231
1250,32056
1166,27621
1088,24168
1015,21388
947,18857
883,16185
824,14132
769,12374
717,11020
669,9541
625,8433
583,7212
544,6434
507,5443
473,4831
441,4277
412,3791
384,3490
358,2672
334,2292
312,2008
291,1753
272,1557
253,1361
236,1247
220,1110
206,923
192,791
179,673
167,604
156,502
145,427
136,380
126,329
118,278
110,257
103,221
96,201
89,166
83,149
78,136
72,123
68,106
63,94
59,82
55,73
51,64
48,55
44,47
41,38
39,37
36,31
34,26
31,23
29,20
27,19
25,18
24,17
22,14
20,12
19,11
18,14
17,13
15,10
14,9
13,8
12,8
12,6
11,6
10,7
